PM10,"PM2,5",NO2,O3,HUMEDAD,LLUVIA,TEMPERATURA,VEL.VIENTO,DIR. VIENTO
15.376000000000001,6.903999999999999,16.47052,3.1518800000000002,83.088,0.024,18.108,1.324,239.82399999999998
14.86,6.983999999999999,5.26768,11.18708,86.368,0.084,22.076,1.1039999999999999,198.772
15.160000000000002,6.92,10.95028,6.0370800000000004,86.312,0.064,21.980000000000004,1.1360000000000003,238.64399999999995
15.464000000000002,6.587999999999999,12.8084,7.955520000000001,84.7,0.184,22.268,0.9760000000000002,220.6
17.300000000000004,7.688,7.9376,3.9467,88.352,0.0,21.508,1.384,207.856
17.332,7.388000000000001,8.677240000000001,13.77974,87.28399999999999,0.004,21.160000000000004,0.9079999999999998,237.55599999999998
21.512,8.716,18.527079999999998,11.81758,83.196,0.02,22.008,0.916,248.08399999999997
23.352,10.312000000000001,32.70652,14.79656,72.172,0.02,24.608,1.4040000000000004,209.536
23.608,10.588,36.6212,43.82,66.292,0.004,25.828000000000003,1.656,224.256
22.612000000000002,10.547999999999998,20.58364,75.29,55.44,0.0,28.028000000000002,1.44,245.49199999999996
23.868000000000002,10.348,19.519280000000002,88.4,47.39999999999999,0.0,29.344,1.3880000000000001,241.776
23.235999999999997,9.808000000000002,8.19016,80.71,46.232000000000006,0.0,29.836000000000002,1.464,244.14400000000006
19.168,8.348,9.669440000000002,67.86,48.272000000000006,0.0,30.212,1.6,250.94
18.859999999999996,7.708,10.373,65.78,54.68000000000001,0.0,29.232,1.452,236.796
18.82,8.388,10.62556,65.97000000000001,54.788,0.0,29.256000000000007,1.6920000000000002,241.03199999999998
19.488000000000003,8.680000000000001,10.932240000000002,67.87,56.42,0.0,28.891999999999996,1.332,267.816
19.44,7.92,12.73624,54.45,61.48,0.0,27.747999999999998,1.108,252.084
21.656,8.06,16.524639999999998,43.555099999999996,67.89599999999999,0.0,26.691999999999997,1.3960000000000001,259.91999999999996
22.467999999999996,8.8,25.56268,33.61,72.304,0.0,25.616000000000003,1.292,285.728
21.220000000000002,8.288,36.63924,28.509999999999998,73.892,0.0,25.448,1.616,287.24
19.184,8.044,26.699199999999998,22.87402,73.276,0.0,24.860000000000003,2.148,245.908
17.432,7.492,27.619239999999998,25.24138,80.804,0.03199999999999996,24.128,1.3519999999999999,278.508
15.223999999999998,6.748,11.0946,26.360000000000003,79.892,0.08,23.136,1.58,297.304
15.012,6.0600000000000005,16.00148,38.51,90.256,3.412,20.524,1.564,224.85600000000005
10.468,4.68,12.93468,36.94,89.82000000000001,0.8920000000000001,20.232000000000003,1.528,252.036
11.815999999999999,5.08,9.94004,25.11328,90.156,0.292,20.056,1.608,223.164
13.044,5.632,6.494400000000001,20.04316,90.628,0.12000000000000002,19.988,1.7759999999999998,231.08
13.26,5.843999999999999,10.62556,18.2,89.42,0.05600000000000001,20.324,1.7279999999999998,220.04000000000002
10.696,4.544,11.40128,14.89,88.648,0.076,19.884000000000004,2.02,207.488
11.164,4.427999999999999,24.40812,7.830000000000002,85.708,0.028000000000000004,20.552,1.8080000000000003,230.372
12.684000000000001,5.1,27.420800000000003,5.8,82.796,0.016,20.752,1.6800000000000002,230.2
19.464,7.12,22.96492,22.24946,73.29599999999999,0.0,23.068,1.9280000000000002,219.54000000000002
19.66,6.612,21.936640000000004,34.085679999999996,65.89599999999999,0.0,24.772000000000002,1.768,243.584
18.116,6.5120000000000005,9.8318,55.8369,54.004,0.0,27.244,2.016,229.81199999999998
19.363999999999997,6.112,9.669440000000002,63.31546,46.7,0.0,28.22,1.8960000000000001,248.98000000000002
18.688000000000002,6.7,7.666999999999999,76.31208000000001,41.928,0.0,30.184000000000005,1.9799999999999998,214.304
19.752,6.843999999999999,12.988800000000001,69.20256,51.424,0.0,29.424,1.8679999999999999,245.452
17.696,6.836,12.916640000000001,57.160000000000004,62.0,0.0,27.336000000000002,1.9880000000000002,280.75600000000003
